family,n,instance,seed,m,ceil_p1,ar_raw_p1,ar_phys_p1,ar_tight_p1,frac_phys_p1,frac_tight_p1,ceil_p3,ar_raw_p3,ar_phys_p3,ar_tight_p3,frac_phys_p3,frac_tight_p3
ER(0.5),12,1,20271812,38,0.8477289924229867,0.48612701840493766,0.7310721849767969,0.7751563373916066,0.716875,0.595,0.9247747897814202,0.7456387950169029,0.7264858781211887,0.7471859046423733,0.21337890625,0.18505859375
ER(0.5),12,2,20271813,37,0.8368529726753533,0.4934468033466249,0.6266170670372113,0.7110663245632645,0.91875,0.7475,0.9322194925298259,0.731350930601192,0.7639595854118173,0.7932736138406373,0.5498046875,0.505126953125
ER(0.5),12,3,20271814,35,0.8242754436579601,0.5328470641483745,0.5328470641483745,0.5328470641483745,1.0,1.0,0.9258549961144368,0.7194869290270246,0.7066820905794632,0.8033555037078799,0.97607421875,0.961181640625
ER(0.5),12,4,20271815,37,0.852769413054839,0.4979164748263099,0.6519758088189036,0.738776429071012,0.91875,0.7475,0.9162119658638054,0.7603801200243222,0.7726266418013304,0.7861958718281961,0.5498046875,0.505126953125
ER(0.5),12,5,20271816,43,0.8671247452810639,0.46939693664187443,0.782497692952781,0.7665826418838263,0.21,0.189375,0.9313422058849091,0.8028718974628288,0.8028718974628288,0.8028718974628288,0.0,0.0
ER(0.5),12,6,20271817,38,0.8174717361236622,0.47026896903574733,0.7041591798131729,0.7465226038873821,0.716875,0.595,0.912566152383117,0.7186098417998247,0.7036252162902582,0.7467833270079985,0.21337890625,0.18505859375
ER(0.5),12,7,20271818,33,0.7847435940265335,0.7673415163678535,0.7673415163678535,0.7673415163678535,1.0,1.0,0.8772262950414403,0.793930219227438,0.793930219227438,0.793930219227438,1.0,1.0
ER(0.5),12,8,20271819,27,0.8184342735726784,0.8076779585555581,0.6445253656959642,0.5025469725656805,0.53625,0.465,0.8972310340786219,0.8155581408532495,0.8155581408532495,0.8155581408532495,0.0,0.0
ER(0.5),12,9,20271820,20,0.823532073741406,0.8135622961819252,0.4582180872803859,0.523731781024591,0.16,0.1375,0.922810663097481,0.8833267698414415,0.8833267698414415,0.8833267698414415,0.0,0.0
ER(0.5),12,10,20271821,41,0.8670515840008822,0.48381812540466645,0.7230217262811848,0.7443536754328361,0.36875,0.32875,0.9371304822012282,0.771451547767481,0.771451547767481,0.771451547767481,0.0,0.0
ER(0.5),12,11,20271822,29,0.7659195615998123,0.7579181750220765,0.6542238254560596,0.6109240759183378,0.82125,0.63375,0.8675138190995717,0.8085223266129864,0.6306357567941122,0.5520948854809187,0.0244140625,0.01806640625
ER(0.5),12,12,20271823,35,0.7970735260153092,0.5157040246889849,0.5157040246889849,0.5157040246889849,1.0,1.0,0.9104397973273154,0.6918583653283198,0.6797477867805016,0.7742661727782856,0.97607421875,0.961181640625
ER(0.5),12,13,20271824,37,0.831708180219495,0.48955968128836314,0.6266278953339235,0.710930701241846,0.91875,0.7475,0.9160809489136265,0.731300221193628,0.7567580676238209,0.7902187312564565,0.5498046875,0.505126953125
ER(0.5),12,14,20271825,24,0.8026514266511103,0.7990644385010967,0.6374677155089464,0.49488118401169495,0.336875,0.29875,0.9229712068478261,0.8637362517756187,0.8637362517756187,0.8637362517756187,0.0,0.0
ER(0.5),12,15,20271826,34,0.7963952149165868,0.6800000000000002,0.6800000000000002,0.6800000000000002,1.0,1.0,0.887842168791486,0.6988774097121707,0.6988774097121707,0.6988774097121707,1.0,1.0
ER(0.5),12,16,20271827,32,0.8250840237221323,0.8131169353963396,0.8131169353963396,0.8101547142981139,1.0,0.996875,0.9129688379343402,0.8298227324247912,0.7829343064399413,0.8058957091787933,0.6904296875,0.609375
ER(0.5),12,17,20271828,23,0.7765560088548945,0.7662474565200902,0.5649367357133779,0.46692525503141924,0.284375,0.2525,0.8951165353526761,0.8380772067966566,0.8380772067966566,0.8380772067966566,0.0,0.0
ER(0.5),12,18,20271829,30,0.8135763091887231,0.8084920701043945,0.734561031401629,0.7523448464150106,0.905,0.81625,0.900162838337084,0.8430559931049757,0.6678078017211381,0.5877940234313512,0.112548828125,0.086669921875
ER(0.5),12,19,20271830,25,0.7788714863498212,0.7725658628519632,0.6249999999999997,0.5048268564348051,0.3925,0.35,0.8731609143722003,0.790048943558228,0.790048943558228,0.790048943558228,0.0,0.0
ER(0.5),12,20,20271831,34,0.8138558890686385,0.6800000000000002,0.6800000000000002,0.6800000000000002,1.0,1.0,0.9089574339882925,0.6990528133167095,0.6990528133167095,0.6990528133167095,1.0,1.0
ER(0.5),12,21,20271832,34,0.8438434542733733,0.7083333333333335,0.7083333333333335,0.7083333333333335,1.0,1.0,0.938035503106145,0.7281464304495779,0.7281464304495779,0.7281464304495779,1.0,1.0
ER(0.5),12,22,20271833,32,0.8272470952617033,0.8155491912243399,0.8155491912243399,0.8132580310407762,1.0,0.996875,0.9100196889790071,0.831673536569526,0.7816165432156233,0.80650506797847,0.6904296875,0.609375
ER(0.5),12,23,20271834,35,0.8251931758394995,0.5334724610021088,0.5334724610021088,0.5334724610021088,1.0,1.0,0.91297455677095,0.7195034084756711,0.7067121584436075,0.8037929060474945,0.97607421875,0.961181640625
ER(0.5),12,24,20271835,39,0.8339434035478438,0.46592207192224677,0.5672333424310886,0.7904925533242978,0.563125,0.491875,0.9090244073542654,0.741888420713695,0.5452200143627345,0.6304354532078311,0.005859375,0.001953125
ER(0.5),12,25,20271836,28,0.7735666880312357,0.7648172297223949,0.6245601321053001,0.5844838714640714,0.63875,0.53875,0.8740596554588987,0.7951864304528278,0.547886324627616,0.6135422738761128,0.00146484375,0.000732421875
ER(0.5),12,26,20271837,36,0.8097318232544978,0.4938690265805971,0.4938690265805971,0.5007126147230119,1.0,0.940625,0.9079532027272431,0.7115353780125275,0.820165044875966,0.7175641367612116,0.8623046875,0.814697265625
ER(0.5),12,27,20271838,40,0.8451098368951856,0.47337816516460735,0.7786027146113845,0.6060896165495149,0.4575,0.409375,0.9267914331062319,0.7664036243810778,0.7664036243810778,0.7664036243810778,0.0,0.0
ER(0.5),12,28,20271839,28,0.8026886417530738,0.7914286796776479,0.654455292066102,0.611420641779052,0.63875,0.53875,0.8895754550797096,0.8151858967307908,0.5585528358500715,0.640543826720447,0.00146484375,0.000732421875
ER(0.5),12,29,20271840,37,0.7694442554808677,0.4528767278315117,0.5824847103318372,0.659855588057243,0.91875,0.7475,0.8766455200383864,0.6790183119901118,0.7014990121017808,0.7675634951377036,0.5498046875,0.505126953125
ER(0.5),12,30,20271841,36,0.8277216232723161,0.501483291741528,0.501483291741528,0.49381002740388064,1.0,0.940625,0.9077395546280533,0.7397934482276557,0.8471938810029725,0.7271815111050991,0.8623046875,0.814697265625
ER(0.5),14,1,20272012,43,0.835539936227498,0.8295775628105179,0.8193463923648113,0.7558286997396283,0.979375,0.911875,0.912856104603816,0.8697154180238528,0.6724380984963378,0.7013510641681445,0.369873046875,0.30419921875
ER(0.5),14,2,20272013,50,0.8332244475045842,0.5133635236649179,0.6679368572939802,0.7153058532319195,0.93125,0.8475,0.9008575628620924,0.7437006513249815,0.8371529863918783,0.7412177470817314,0.705810546875,0.66162109375
ER(0.5),14,3,20272014,47,0.8004775169660114,0.5754959284969512,0.5754959284969512,0.5754959284969512,1.0,1.0,0.8834524243886568,0.7102807149425526,0.7102807149425526,0.730136753662805,1.0,0.99951171875
ER(0.5),14,4,20272015,42,0.8245293656269178,0.8190196708492439,0.7824043125545053,0.7166787374644095,0.91875,0.843125,0.9084022887862953,0.8406030789336794,0.5270001971320883,0.6109142929285014,0.181396484375,0.152587890625
ER(0.5),14,5,20272016,40,0.7521891273631569,0.745005041075884,0.6254491263198245,0.6162560315314356,0.713125,0.600625,0.8694375958291976,0.7888298932308537,0.6423983722642455,0.640473990007628,0.02783203125,0.02197265625
ER(0.5),14,6,20272017,52,0.871041803678108,0.5091081117546089,0.7908888598600576,0.8021960130742614,0.645,0.56875,0.9348804496093718,0.7785049926349096,0.7457204944691843,0.7313529170949894,0.173583984375,0.153564453125
ER(0.5),14,7,20272018,50,0.8419315159739391,0.5206965761148181,0.6687758973685461,0.7156170607737238,0.93125,0.8475,0.9132775713018914,0.7517334131950354,0.8513308980808791,0.7424826616288385,0.705810546875,0.66162109375
ER(0.5),14,8,20272019,49,0.8082921037570993,0.5208653353512064,0.5208653353512064,0.6389643722224307,1.0,0.934375,0.8927882282129495,0.7193333515601879,0.7793328882860621,0.7877827487819821,0.88525390625,0.85205078125
ER(0.5),14,9,20272020,35,0.8414147658518704,0.8310321278826188,0.6722125427134878,0.643153875907696,0.38125,0.34625,0.9290866395516368,0.8767494833710827,0.8767494833710827,0.8767494833710827,0.0,0.0
ER(0.5),14,10,20272021,45,0.8609657491262915,0.8525279852798202,0.8525279852798202,0.8525279852798202,1.0,1.0,0.9307555018812391,0.8747025292527811,0.8450017224819936,0.7666169429751452,0.983154296875,0.904296875
ER(0.5),14,11,20272022,49,0.8328785328471061,0.5371678973596272,0.5371678973596272,0.6579495342467206,1.0,0.934375,0.9126221341533626,0.7405012758199786,0.8028564118907912,0.8116192864099039,0.88525390625,0.85205078125
ER(0.5),14,12,20272023,47,0.8239742354301771,0.5925655079512628,0.5925655079512628,0.5925655079512628,1.0,1.0,0.9021955307520492,0.7317921290753739,0.7317921290753739,0.7521900294334821,1.0,0.99951171875
ER(0.5),14,13,20272024,44,0.832515057368888,0.8239906976117752,0.8239906976117752,0.7883952771592169,1.0,0.9775,0.9135133838959494,0.8388231944115575,0.716300358975201,0.6428232475464253,0.635986328125,0.56298828125
ER(0.5),14,14,20272025,56,0.828633670270751,0.4859881699622709,0.6509815447199487,0.767534846291086,0.343125,0.3125,0.8948233720726211,0.7691200909180064,0.7691200909180064,0.7691200909180064,0.0,0.0
ER(0.5),14,15,20272026,45,0.8760985949458712,0.8640815518177655,0.8640815518177655,0.8640815518177655,1.0,1.0,0.9539873937243694,0.899255828653868,0.8603877379528894,0.7913524327198507,0.983154296875,0.904296875
ER(0.5),14,16,20272027,48,0.8405072871356277,0.552846108722534,0.552846108722534,0.552846108722534,1.0,1.0,0.9219577939833509,0.7473491649177397,0.7595713887446359,0.7309693068573372,0.9716796875,0.95654296875
ER(0.5),14,17,20272028,49,0.8292552615645715,0.5332933078954251,0.5332933078954251,0.657022406454076,1.0,0.934375,0.9054967848961708,0.7404423872109129,0.7997092264782374,0.8067232017512365,0.88525390625,0.85205078125
ER(0.5),14,18,20272029,45,0.7979080656531403,0.7862976702053921,0.7862976702053921,0.7862976702053921,1.0,1.0,0.8962567914053617,0.8301832838619806,0.7867753521198817,0.7352381284105477,0.983154296875,0.904296875
ER(0.5),14,19,20272030,44,0.850188607484086,0.840986442393901,0.840986442393901,0.8084972415423651,1.0,0.9775,0.9313756944808171,0.8515953304968062,0.7334647835926196,0.6474137088564601,0.635986328125,0.56298828125
ER(0.5),14,20,20272031,41,0.7980086911587189,0.7832031285262683,0.7090290707275474,0.6704739608628297,0.859375,0.686875,0.8795447875522806,0.8146273485724144,0.6512278185883372,0.5579613184483385,0.078857421875,0.06640625
ER(0.5),14,21,20272032,47,0.8262748586494073,0.5932800983916946,0.5932800983916946,0.5932800983916946,1.0,1.0,0.9109694834374015,0.7318184005866191,0.7318184005866191,0.7523386453292128,1.0,0.99951171875
ER(0.5),14,22,20272033,41,0.7895140336522807,0.7784291657099528,0.686692093000563,0.6488586576202916,0.859375,0.686875,0.8862191082638153,0.8179282801434441,0.647376115421479,0.5334380633517581,0.078857421875,0.06640625
ER(0.5),14,23,20272034,48,0.8162730339576314,0.5371536872879196,0.5371536872879196,0.5371536872879196,1.0,1.0,0.9069232603144206,0.7253805361246526,0.7378145613297465,0.7094403415713202,0.9716796875,0.95654296875
ER(0.5),14,24,20272035,42,0.8284122540042135,0.8229798199651162,0.7836796864027112,0.7169346882841708,0.91875,0.843125,0.9122524941788765,0.8503190427672876,0.5497708071407185,0.6138184225948891,0.181396484375,0.152587890625
ER(0.5),14,25,20272036,45,0.8417834912924869,0.831519152966336,0.831519152966336,0.831519152966336,1.0,1.0,0.9271477541120703,0.8646416202553878,0.8273433826369029,0.7601613674535455,0.983154296875,0.904296875
ER(0.5),14,26,20272037,46,0.810277448792847,0.779407155989058,0.779407155989058,0.779407155989058,1.0,1.0,0.9141518275733791,0.719566203641903,0.719566203641903,0.719566203641903,1.0,1.0
ER(0.5),14,27,20272038,44,0.7857945162212768,0.7778961897460125,0.7778961897460125,0.7430216982913163,1.0,0.9775,0.8895482654661883,0.805423229501739,0.6992471374123185,0.6319391536890205,0.635986328125,0.56298828125
ER(0.5),14,28,20272039,41,0.80176980297399,0.7882415901913957,0.7091537240707324,0.6704913365502226,0.859375,0.686875,0.88975044903826,0.8219742558287273,0.6601540098505574,0.5546544630450917,0.078857421875,0.06640625
ER(0.5),14,29,20272040,46,0.8290720717518933,0.8010241393912141,0.8010241393912141,0.8010241393912141,1.0,1.0,0.9106594815972855,0.741367061936937,0.741367061936937,0.741367061936937,1.0,1.0
ER(0.5),14,30,20272041,48,0.8178869755998799,0.5384111627593215,0.5384111627593215,0.5384111627593215,1.0,1.0,0.9096380342723623,0.725404155418687,0.7375857617737294,0.709369118237342,0.9716796875,0.95654296875
ER(0.25),12,1,20281812,15,0.7633254617586126,0.751355340145963,0.48418952041268687,0.4922884349781873,0.00375,0.00125,0.8671899552473761,0.8315760774491218,0.8315760774491218,0.8315760774491218,0.0,0.0
ER(0.25),12,2,20281813,17,0.8008168503983236,0.7904782933504177,0.6040602168525986,0.5336036220822764,0.05875,0.03,0.9029464111173743,0.8687561410883325,0.8687561410883325,0.8687561410883325,0.0,0.0
ER(0.25),12,3,20281814,15,0.7432304047517361,0.7392016679343134,0.49219681636790574,0.5001898575942435,0.00375,0.00125,0.8886379860760607,0.8269003288405905,0.8269003288405905,0.8269003288405905,0.0,0.0
ER(0.25),12,4,20281815,9,0.7692668404573071,0.7623716355340758,0.7623716355340758,0.7623716355340758,0.0,0.0,0.8563054509262671,0.8273719029205957,0.8273719029205957,0.8273719029205957,0.0,0.0
ER(0.25),12,5,20281816,11,0.7936872184431911,0.7877439973053808,0.7877439973053808,0.7877439973053808,0.0,0.0,0.8795969622924542,0.8293840537613925,0.8293840537613925,0.8293840537613925,0.0,0.0
ER(0.25),12,6,20281817,19,0.776228141283609,0.7665981581845809,0.558923740232815,0.459226771374773,0.125625,0.1,0.8961425571965664,0.8507580843833328,0.8507580843833328,0.8507580843833328,0.0,0.0
ER(0.25),12,7,20281818,14,0.7538614468407902,0.7345162530204211,0.7345162530204211,0.7345162530204211,0.0,0.0,0.8685370680378588,0.818328421493829,0.818328421493829,0.818328421493829,0.0,0.0
ER(0.25),12,8,20281819,20,0.8162075572350613,0.8045251943320022,0.4572794681659065,0.522016236337661,0.16,0.1375,0.9256229181716064,0.8768360228595559,0.8768360228595559,0.8768360228595559,0.0,0.0
ER(0.25),12,9,20281820,18,0.7474859994280021,0.740152925272519,0.55611128273281,0.3738542996529737,0.09125,0.069375,0.8731202172922676,0.8254509142042903,0.8254509142042903,0.8254509142042903,0.0,0.0
ER(0.25),12,10,20281821,11,0.7539602516041647,0.7369960140389621,0.7369960140389621,0.7369960140389621,0.0,0.0,0.8961641035813337,0.8160358252318357,0.8160358252318357,0.8160358252318357,0.0,0.0
ER(0.25),12,11,20281822,22,0.8185528290435699,0.8038645932494785,0.6487469479475126,0.5211330715466062,0.24,0.21,0.9143462590694833,0.8493070692061316,0.8493070692061316,0.8493070692061316,0.0,0.0
ER(0.25),12,12,20281823,12,0.7708736684780063,0.765669369367895,0.765669369367895,0.765669369367895,0.0,0.0,0.8810752355042836,0.8265342265689374,0.8265342265689374,0.8265342265689374,0.0,0.0
ER(0.25),12,13,20281824,24,0.8228041997259071,0.8132470622670682,0.6469695307792782,0.5213392065178181,0.336875,0.29875,0.8998942742882475,0.8516843369960688,0.8516843369960688,0.8516843369960688,0.0,0.0
ER(0.25),12,14,20281825,24,0.832162639711816,0.8243507562423158,0.6296153630199605,0.5133977503869015,0.336875,0.29875,0.9208963183381884,0.8648362751448879,0.8648362751448879,0.8648362751448879,0.0,0.0
ER(0.25),12,15,20281826,15,0.7776218771329912,0.7672551604114373,0.5520866989011578,0.5641707181107543,0.00375,0.00125,0.8961649905167157,0.8381161684569732,0.8381161684569732,0.8381161684569732,0.0,0.0
ER(0.25),12,16,20281827,16,0.8028092525595103,0.7869975075367275,0.3695795395070394,0.5455668889042292,0.01875,0.009375,0.9017351628551682,0.8493754532343021,0.8493754532343021,0.8493754532343021,0.0,0.0
ER(0.25),12,17,20281828,9,0.8437765147266431,0.8247095364634256,0.8247095364634256,0.8247095364634256,0.0,0.0,0.9199758393251243,0.8830414682728938,0.8830414682728938,0.8830414682728938,0.0,0.0
ER(0.25),12,18,20281829,15,0.7964163535051649,0.7919692127132816,0.5463427228043221,0.5514183592984315,0.00375,0.00125,0.9035334672561522,0.8594481233994481,0.8594481233994481,0.8594481233994481,0.0,0.0
ER(0.25),12,19,20281830,21,0.7941637505913122,0.7821024732660258,0.4914251891985895,0.4490089739441496,0.196875,0.17125,0.8999051820061693,0.858972488309684,0.858972488309684,0.858972488309684,0.0,0.0
ER(0.25),12,20,20281831,20,0.7620293513208537,0.749630570858023,0.42786878187081506,0.48510362633858906,0.16,0.1375,0.8748538370358913,0.8229445639260003,0.8229445639260003,0.8229445639260003,0.0,0.0
ER(0.25),12,21,20281832,17,0.7488098678180312,0.738361428516544,0.5578322304484166,0.46977933645453773,0.05875,0.03,0.8764117155316508,0.8291581173255016,0.8291581173255016,0.8291581173255016,0.0,0.0
ER(0.25),12,22,20281833,18,0.7817064626409234,0.7700279422058022,0.5954421374135817,0.4061331599963739,0.09125,0.069375,0.9018729090344532,0.8531610916329806,0.8531610916329806,0.8531610916329806,0.0,0.0
ER(0.25),12,23,20281834,18,0.7480313362351463,0.7404790876714129,0.55646442522288,0.37509570684864985,0.09125,0.069375,0.8827616863394723,0.8291467494042862,0.8291467494042862,0.8291467494042862,0.0,0.0
ER(0.25),12,24,20281835,18,0.8271249492690294,0.8111575337846583,0.6375993397293672,0.43285972951406454,0.09125,0.069375,0.9276540393163542,0.8893594356454759,0.8893594356454759,0.8893594356454759,0.0,0.0
ER(0.25),12,25,20281836,12,0.7637789791488191,0.7560010727000782,0.7560010727000782,0.7560010727000782,0.0,0.0,0.8640838983200954,0.8252139367098213,0.8252139367098213,0.8252139367098213,0.0,0.0
ER(0.25),12,26,20281837,19,0.7834922808767725,0.7738976375408186,0.573198125773952,0.45855044022084257,0.125625,0.1,0.870821038954976,0.8376790888150781,0.8376790888150781,0.8376790888150781,0.0,0.0
ER(0.25),12,27,20281838,21,0.7745373615475093,0.7585724648664438,0.5054970142119389,0.4550514847941977,0.196875,0.17125,0.8979263010979704,0.8377596346824676,0.8377596346824676,0.8377596346824676,0.0,0.0
ER(0.25),12,28,20281839,16,0.8184952224302152,0.8057102139070362,0.36189090857137474,0.562021452156345,0.01875,0.009375,0.9095120429392718,0.8730288721271577,0.8730288721271577,0.8730288721271577,0.0,0.0
ER(0.25),12,29,20281840,20,0.8069427630130568,0.7939236930626755,0.46072773066388906,0.5215475510453331,0.16,0.1375,0.9022017975919872,0.8617315512357046,0.8617315512357046,0.8617315512357046,0.0,0.0
ER(0.25),12,30,20281841,14,0.7508699068621816,0.7442748406812034,0.7442748406812034,0.7442748406812034,0.0,0.0,0.848821763321378,0.8165370464412189,0.8165370464412189,0.8165370464412189,0.0,0.0
ER(0.25),14,1,20282012,22,0.7957785854954411,0.7804944665150625,0.6009878608690238,0.5969828544013882,0.010625,0.0075,0.8890052149788955,0.8462573136618566,0.8462573136618566,0.8462573136618566,0.0,0.0
ER(0.25),14,2,20282013,24,0.7638638083489783,0.7524889900500297,0.6004530190223354,0.5980999798383613,0.029375,0.024375,0.87504640352872,0.8305022748314996,0.8305022748314996,0.8305022748314996,0.0,0.0
ER(0.25),14,3,20282014,23,0.7525421791405413,0.7455125078019654,0.5566576721446062,0.5528185120408537,0.018125,0.014375,0.87544248068385,0.8254011286835757,0.8254011286835757,0.8254011286835757,0.0,0.0
ER(0.25),14,4,20282015,23,0.7633226081124465,0.7572079800958582,0.5606771302284947,0.5579059261243869,0.018125,0.014375,0.8716409334939794,0.82728838895144,0.82728838895144,0.82728838895144,0.0,0.0
ER(0.25),14,5,20282016,26,0.8101563370657182,0.7943350534686437,0.4159373122461497,0.6452468298658671,0.083125,0.06125,0.9143320373505255,0.8740081566284935,0.8740081566284935,0.8740081566284935,0.0,0.0
ER(0.25),14,6,20282017,24,0.7982546435558324,0.7849150748904703,0.6337657137393929,0.6078845738337274,0.029375,0.024375,0.89398655628628,0.8652311439036979,0.8652311439036979,0.8652311439036979,0.0,0.0
ER(0.25),14,7,20282018,18,0.7773433937794283,0.7630326859935802,0.7630326859935802,0.7630326859935802,0.0,0.0,0.8826676273548789,0.8447448100453329,0.8447448100453329,0.8447448100453329,0.0,0.0
ER(0.25),14,8,20282019,24,0.7320142400143693,0.7218931429357272,0.5734090136386805,0.5513391765847419,0.029375,0.024375,0.8421639814824831,0.8049247219490842,0.8049247219490842,0.8049247219490842,0.0,0.0
ER(0.25),14,9,20282020,18,0.8109788995180817,0.8028672740384217,0.8028672740384217,0.8028672740384217,0.0,0.0,0.9059638540329176,0.8671574687404842,0.8671574687404842,0.8671574687404842,0.0,0.0
ER(0.25),14,10,20282021,22,0.7587223744972146,0.7511272252131228,0.5752005499534191,0.5550474246885969,0.010625,0.0075,0.8711163397266019,0.8321817105738099,0.8321817105738099,0.8321817105738099,0.0,0.0
ER(0.25),14,11,20282022,24,0.8114138846767143,0.784024249848967,0.6642497624288796,0.6444865685918274,0.029375,0.024375,0.8948110957158958,0.8654837447336052,0.8654837447336052,0.8654837447336052,0.0,0.0
ER(0.25),14,12,20282023,21,0.7910383490973726,0.7721672900129702,0.598100237862258,0.6029465052169372,0.004375,0.0025,0.8864787116138544,0.8531102368942344,0.8531102368942344,0.8531102368942344,0.0,0.0
ER(0.25),14,13,20282024,18,0.8148035476800288,0.804264179552738,0.804264179552738,0.804264179552738,0.0,0.0,0.9092009785444956,0.8738698942192935,0.8738698942192935,0.8738698942192935,0.0,0.0
ER(0.25),14,14,20282025,20,0.775506052818805,0.7652364848069287,0.5709426495649972,0.7652364848069287,0.000625,0.0,0.8738813223527024,0.844067856104094,0.844067856104094,0.844067856104094,0.0,0.0
